"t","x","y","dt","type"
2119.779,1331,1280,0.398999999999887,0
2120.278,1391,1221,0.420000000000073,0
2120.898,1411,1187,0.159999999999854,0
2121.338,1471,1150,0.119999999999891,0
2121.478,1493,1071,0.619000000000142,0
2122.237,1392,1201,0.960000000000036,0
2123.216,1449,1147,0.0799999999999272,0
2123.336,1437,1163,0.760000000000218,0
2124.216,1454,1139,0.240000000000236,0
2124.476,1418,1172,0.618999999999687,0
2125.255,1422,1158,1.51899999999978,0
2126.814,1301,1108,0.140000000000327,0
2126.994,1372,1206,0.0799999999999272,0
2127.114,1398,1179,0.0799999999999272,0
2127.234,1353,1224,0.119999999999891,0
2127.414,1466,1133,0.279999999999745,0
2127.894,1467,1129,0.260000000000218,0
2128.194,1361,1200,0.0999999999999091,0
2128.313,1458,1131,0.139999999999873,0
2128.493,1417,1143,0.360000000000127,0
2128.873,1473,1120,0.679999999999836,0
2129.593,1470,1077,0.459000000000287,0
2130.112,1471,1090,0.860000000000127,0
2131.292,1057,1411,0.139999999999873,0
2131.691,1450,1129,0.260000000000218,0
2132.071,514,1825,0.139999999999873,2
2132.371,513,1826,0.119999999999891,2
2132.631,1307,1085,0.0799999999999272,0
2132.731,1301,1084,0.199999999999818,0
2132.951,1279,1131,0.0999999999999091,0
2133.151,1317,1075,0.120000000000346,0
2133.291,1488,1099,0.198999999999614,0
2133.51,1493,1113,1.75899999999956,0
2135.289,1469,1184,0.779999999999745,0
2136.329,1480,1180,0.279999999999745,0
2136.629,1501,1096,0.139999999999873,0
2136.908,1476,1151,0.660000000000309,0
2137.668,1414,1180,0.279999999999745,0
2138.068,1424,1190,0.938999999999851,0
2139.027,1493,1164,0.519999999999982,0
2139.627,1502,1137,0.539999999999964,0
2140.246,1511,1085,0.119999999999891,0
2140.386,1492,1108,0.139999999999873,0
2140.626,1520,1056,0.0999999999999091,0
2140.746,1521,1082,0.259999999999764,0
2141.026,1517,1107,0.979000000000269,0
2142.305,1511,1133,0.320000000000164,0
2142.645,1477,1134,0.159999999999854,0
2143.025,1487,1131,0.618999999999687,0
2143.664,1506,1101,0.139999999999873,0
2143.964,1515,1022,0.0799999999999272,0
2144.184,1517,1076,0.419999999999618,0
2144.804,1519,1066,0.380000000000109,0
2145.423,1463,1133,0.340000000000146,0
2145.883,1464,1132,0.340000000000146,0
2146.283,1483,1116,0.119999999999891,0
2146.423,1468,1131,0.140000000000327,0
2146.643,1511,1092,0.0799999999999272,0
2146.863,1511,1109,0.31899999999996,0
2147.202,1509,1133,0.0999999999999091,0
2147.402,1580,1024,0.139999999999873,0
2147.762,1630,980,0.139999999999873,0
2147.962,1577,1024,0.119999999999891,0
2148.422,1529,1034,0.0999999999999091,0
2149.021,819,1581,0.0799999999999272,0
2149.561,1512,1098,0.480000000000018,0
2150.061,1565,1104,0.518999999999778,0
2150.6,1518,1040,0.0999999999999091,0
2151.16,1519,1091,0.100000000000364,0
2151.3,1572,1101,0.0799999999999272,0
2151.4,1449,1343,1.97899999999981,0
2153.459,1253,1319,0.359000000000378,0
2153.838,1382,1334,0.919999999999618,0
2154.778,1324,1383,0.939000000000306,0
2155.837,1437,1287,0.2199999999998,0
2156.077,1456,1259,0.299999999999727,0
2156.497,1587,1827,0.440000000000055,0
2168.43,1743,1128,0.100000000000364,0
2168.69,1852,1054,0.0799999999999272,0
2168.79,1876,1031,0.220000000000255,0
2169.03,1913,938,0.778999999999996,0
2169.949,2110,750,0.380000000000109,0
2170.349,2209,742,0.618999999999687,0
2171.288,2005,843,1.25900000000001,0
2172.647,1875,929,0.159999999999854,0
2172.947,3211,130,0.179999999999836,0
2173.987,2382,825,0.498999999999796,0
2174.526,2899,386,1.35900000000038,0
2176.045,2909,407,0.779999999999745,0
2176.845,3007,511,0.480000000000018,0
2177.365,2996,317,0.080000000000382,0
2177.465,2702,485,0.239000000000033,0
2177.764,2715,491,0.0999999999999091,0
2177.884,2919,370,0.0999999999999091,0
2178.164,1978,934,0.5,0
2178.864,3562,475,0.0999999999999091,0
2183.681,1716,1679,0.320000000000164,0
2184.041,1378,1640,0.398999999999887,0
2213.383,2826,632,0.180000000000291,0
2213.603,2784,631,0.119999999999891,0
